% Model:              Gyroid.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 27 2025, 15:52
% Table:              切面数据 - 切面数据
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      3.9308166191492346       30.14970341038015        267.52645179176614
-39.8                    4.652193324655867        23.912855742109297       264.3366296861409
-39.6                    4.702735754417702        24.873336098118287       262.7550626730488
-39.4                    4.727831898877815        25.659393902363046       261.57359863202936
-39.2                    4.769848712025252        26.233814351457802       260.5053302011799
-39                      4.825847048419528        26.686814079468444       259.451070604248
-38.800000000000004      4.893893904199071        27.03648912400934        258.3885424453965
-38.6                    4.966795890316007        27.4242570399692         257.28426658378413
-38.4                    5.0516970679335955       27.814534503116196       256.09986582012647
-38.2                    5.143848393471755        28.3811504409214         254.7873508512488
-38                      5.281710425139457        28.79184337986358        253.09621404379212
-37.8                    5.430457577712211        28.712649528255955       251.24815459217635
-37.6                    5.50598847353185         28.982842365569155       249.6958617017041
-37.400000000000006      5.545441478314038        29.378061721488088       248.21609805521902
-37.2                    5.548965581732202        29.898169503027933       246.733993342652
-37                      5.48657077958917         30.805532670840538       245.03804825340015
-36.8                    5.445290018591288        31.380134177862672       243.54012233110967
-36.6                    5.445168247155076        31.47817635192018        242.40463100062533
-36.4                    5.463896282854863        31.526833232280914       241.41930189423604
-36.2                    5.495309784516453        31.565694004209952       240.5139985998943
-36.00000000000001       5.540646421644846        31.536171958312394       239.6975771678681
-35.8                    5.585611125687878        31.51521609175573        238.93411587520026
-35.6                    5.633204704850238        31.467272988628633       238.2084869313154
-35.4                    5.684579536896852        31.395442023337836       237.50775053166538
-35.2                    5.7344719107342765       31.359798073549676       236.8010761320687
-35                      5.792314176904785        31.29715840285639        236.10355706119933
-34.8                    5.849702579085117        31.25827902330905        235.38937869474765
-34.6                    5.909629939406504        31.241111832344384       234.67055344288525
-34.4                    5.978026080290441        31.223618946354158       233.89312261137275
-34.2                    6.051435795310809        31.225226024337854       233.0427392152324
-34                      6.131005255484489        31.259948216691573       232.1273044455245
-33.8                    6.215884665857995        31.326489661240696       231.12377730368297
-33.6                    6.302297787429959        31.48604907098966        229.936535401998
-33.4                    6.384602845326011        31.810658777792046       228.59700691361618
-33.2                    6.470873987077202        32.34047876569669        227.03087669047363
-33                      6.559075071644742        33.11420046417142        224.90771815992701
-32.8                    6.680454566959991        33.173120125119965       222.5886468805087
-32.6                    6.71767321656371         33.50089245895747        221.0373516777447
-32.4                    6.713993047281797        33.89820170854409        219.80287791639415
-32.2                    6.68260654229935         34.34887784400549        218.7994441160325
-32                      6.5725070746959195       35.193700064387315       218.03391855064237
-31.799999999999994      6.510936054634565        35.37136663551813        217.45752122406992
-31.6                    6.4842506400120685       35.29559805800465        216.99025660503978
-31.4                    6.471182936032645        35.156301286880314       216.62820379930093
-31.2                    6.458136866168043        35.00991801026366        216.3795978434322
-31                      6.442762041799687        34.8382920095434         216.22559690491468
-30.799999999999997      6.425892318295104        34.67532696038232        216.1712840573371
-30.6                    6.406745971683765        34.54551814428964        216.16645476902036
-30.4                    6.390931316334401        34.424598913520036       216.24356777628992
-30.200000000000003      6.377121712870757        34.342587732785915       216.32683538483954
-30                      6.369354087392528        34.25724369222477        216.46962896623538
-29.799999999999997      6.365797547107892        34.18655141801556        216.5937339949848
-29.6                    6.366724257452633        34.12552034827176        216.71230735724566
-29.4                    6.369667640301088        34.11336913969691        216.7967877614307
-29.2                    6.377295126218596        34.100306487826394       216.8450383739699
-29                      6.385891196943974        34.12681090410506        216.77931132886357
-28.8                    6.398597985073359        34.19054220231313        216.6016247255242
-28.6                    6.416767057358504        34.317507821589054       216.2955447880329
-28.4                    6.434361615932129        34.57228926802177        215.77117189600253
-28.2                    6.460480574738716        34.97231325297922        214.95738352345782
-28                      6.507163074141943        35.43541331467574        213.42732966940662
-27.799999999999997      6.581175348188652        35.50683760258205        211.83129644202066
-27.6                    6.60522874245847         35.819210756843354       210.68727591071433
-27.400000000000002      6.60138230085291         36.21089657578061        209.70293706187476
-27.2                    6.573976185229562        36.668282090889065       208.79064776531192
-27                      6.4745403263069905       37.46960457441007        207.93530635047586
-26.799999999999997      6.350601914900128        38.158372932959956       207.18485115950025
-26.6                    6.310479242179786        38.21727336542723        206.6188275097842
-26.4                    6.2971018104250485       38.20870583045883        206.14503454172782
-26.200000000000003      6.298505269390604        38.153485760298395       205.73838851280988
-26.000000000000004      6.301359659020728        38.087404600540594       205.3857073184875
-25.799999999999997      6.313748639165737        37.970073657056496       205.05360613042978
-25.6                    6.326284494660546        37.88399879989797        204.74749211278657
-25.4                    6.338289359211461        37.81465965138454        204.44420437274474
-25.2                    6.355389575012512        37.7398790976784         204.12589945355214
-25                      6.376844980097895        37.68162774835977        203.784528225176
-24.8                    6.40160084473766         37.65139855967068        203.4180792835552
-24.6                    6.43488681191911         37.62901501109625        202.99671746160948
-24.4                    6.472671907672847        37.64071876966515        202.5476638594105
-24.2                    6.517547838994006        37.67881539234251        202.039623608322
-24                      6.567485956074865        37.77480470687938        201.46135526410484
-23.8                    6.61324956794823         37.95507325838188        200.80785227282874
-23.599999999999998      6.660288976608904        38.16389281155629        200.04408991045776
-23.400000000000002      6.701134852142856        38.50515762300775        199.17338293963778
-23.2                    6.737940367115817        39.020342660044406       198.0660963431154
-23                      6.779994862148619        39.57744443577257        196.50872220105683
-22.8                    6.879512766793646        39.495036225877605       194.7307300122497
-22.599999999999998      6.8882604142888795       39.77344041365378        193.46229840184463
-22.4                    6.865032987269184        40.07930407503641        192.395658914886
-22.2                    6.804612354426962        40.48433965983312        191.4670045643471
-22                      6.668869786563669        41.20250331831075        190.72413442672496
-21.8                    6.562188710031747        41.4817516064607         190.11203132755662
-21.599999999999998      6.502155793365991        41.425114329856754       189.56810435111973
-21.4                    6.45275804916922         41.350982622728786       189.09737471766985
-21.2                    6.410220612886778        41.2630909433694         188.69497697282983
-21                      6.373732544606437        41.171369619389075       188.3724093969343
-20.8                    6.348207303868617        41.060947464802126       188.11923896729493
-20.599999999999998      6.330451583655303        40.95794456851451        187.92182903349484
-20.4                    6.3241180458973          40.82975401520642        187.79468967218142
-20.2                    6.325045850973086        40.72474529524657        187.69289734583427
-20                      6.337140043863613        40.60235652507165        187.61878919272326
-19.799999999999997      6.352510380437866        40.49692860691964        187.55628211074892
-19.599999999999998      6.369124808319579        40.41323662895425        187.50278465140846
-19.400000000000002      6.390366997203204        40.33711749116449        187.44025376121542
-19.2                    6.4161854893418155       40.2801211169509         187.34051784684345
-19                      6.441733897638269        40.25086557698917        187.19090671947566
-18.799999999999997      6.475712447641314        40.23991787172547        186.98248601136967
-18.599999999999998      6.502529604401619        40.350416817840454       186.67407602788882
-18.4                    6.530578031714907        40.53393951246592        186.21007641795157
-18.2                    6.56652836393709         40.8292349386125         185.51691043667307
-18.000000000000004      6.655393289274911        40.97618651208278        184.3473691550546
-17.799999999999997      6.78554711633114         40.76935020223072        182.86210720107312
-17.599999999999998      6.830962814668347        40.90892344521434        181.7862437899436
-17.4                    6.842060125033375        41.15440248819924        180.8502118049171
-17.2                    6.819021885231853        41.517070794505834       179.99350317388863
-17                      6.705211039359927        42.31204493496441        179.13702081878796
-16.8                    6.61154179414495         42.63729214470044        178.42170274812253
-16.599999999999998      6.57486646287141         42.66219897429102        177.82313751030046
-16.4                    6.560669436522263        42.66234739121009        177.2866888749005
-16.2                    6.558367986976616        42.66899036452383        176.7980419471534
-16                      6.569195564054122        42.6493648168625         176.34916560730457
-15.799999999999999      6.592410759775071        42.582798456871224       175.94969884614292
-15.599999999999998      6.612892733674666        42.57204118367814        175.55518527712965
-15.399999999999999      6.644581709162677        42.513014280810054       175.15071758721825
-15.2                    6.676963673724479        42.44678438496437        174.75686260667584
-15                      6.714780582730095        42.376670711090135       174.36474208718795
-14.799999999999997      6.761777940701579        42.28590740216327        173.91992792847446
-14.599999999999998      6.819600803942839        42.172920940304955       173.4470448974758
-14.4                    6.873359146198755        42.1379272357867         172.91785689093652
-14.2                    6.942308005818903        42.076863877652436       172.31562001412215
-14                      7.0078912053391615       42.10718688555044        171.66155977821953
-13.799999999999997      7.081354712729009        42.12860410445453        170.9112666786897
-13.599999999999998      7.146846472703229        42.262628469063415       170.05932657334012
-13.399999999999999      7.202784559075069        42.518255523441866       169.0182428010557
-13.2                    7.240947820702324        43.01620173143694        167.7279181198702
-13.000000000000002      7.282541930643779        43.4478341839856         165.7512054777023
-12.799999999999997      7.36335989265009         43.42537553516862        163.81430061441714
-12.599999999999998      7.386837874637106        43.603111880386415       162.41624389453233
-12.4                    7.378804699269635        43.84746199177432        161.25821169016763
-12.2                    7.341078441099137        44.14798265572516        160.27288427825889
-12                      7.231474822312575        44.73024255560853        159.38772680330692
-11.799999999999997      7.154667414350077        44.91042103811084        158.71194373500273
-11.599999999999998      7.1210546090568485       44.81455374355214        158.17266979846448
-11.399999999999999      7.100013251503588        44.67834853738942        157.75782058302494
-11.2                    7.071856423561368        44.6110793246026         157.41228687108
-11                      7.050292912400271        44.51074654206545        157.16090727126863
-10.799999999999997      7.029347451915854        44.41856827394957        156.96484980065694
