% Model:              Gyroid.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 27 2025, 13:59
% Table:              切面数据 - 切面数据
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      2.0121822426841662       31.848932469617278       73.42856749556569
-39.8                    2.3765212845995287       24.85434530464071        72.58688748256817
-39.6                    2.3933159069146397       26.004913628273385       72.1949723143958
-39.4                    2.4029357993275338       26.95566638467436        71.89473323621559
-39.2                    2.422627446496972        27.687223624515585       71.61433391151355
-39                      2.4492372536800104       28.297865261498412       71.33851316442433
-38.800000000000004      2.482128618087876        28.798400137715504       71.06045698587755
-38.6                    2.517218681255569        29.364134528508835       70.77122020513617
-38.4                    2.558559655502636        29.93940958051442        70.46086580489016
-38.2                    2.6036548177694296       30.68734628877428        70.11716706122657
-38                      2.6720390427900464       31.111445984604345       69.67549782582907
-37.8                    2.7473699251927393       30.995905940893934       69.19100082511655
-37.6                    2.7858937541875037       31.305476441784023       68.7838526604375
-37.400000000000006      2.8069862150428766       31.765814814994165       68.39593004822852
-37.2                    2.810259141854544        32.38606540837566        68.00857294479232
-37                      2.779008652139118        33.472794203283904       67.56843409285933
-36.8                    2.756392320744535        34.23229784426049        67.18056185062161
-36.6                    2.757426638152959        34.37543467045882        66.88689310431393
-36.4                    2.765844621828677        34.42273643889541        66.63220802707744
-36.2                    2.779112284716173        34.45535344352602        66.39815693280073
-36.00000000000001       2.800223328690841        34.421958442683874       66.18756069171044
-35.8                    2.8222916366360313       34.398711492296286       65.99016594933877
-35.6                    2.84612473471214         34.342524060547746       65.80245145955004
-35.4                    2.871943186928265        34.26034995894246        65.62042100154481
-35.2                    2.896900092838657        34.222563581620925       65.43582404290314
-35                      2.9259678923430306       34.15513992470234        65.2520850281057
-34.8                    2.9551292531297655       34.11859233975086        65.06240366742263
-34.6                    2.985680132630431        34.110678538788314       64.86994589806734
-34.4                    3.0202420005045765       34.11129922803669        64.66119254653599
-34.2                    3.056864256506806        34.15725750345022        64.43308627775775
-34                      3.095851427860591        34.25809674038417        64.18786409447364
-33.8                    3.13697374779604         34.41438246689517        63.91980442719866
-33.6                    3.1788102589961453       34.68789326749706        63.603289358238946
-33.4                    3.218224918024573        35.17752363914446        63.246779618500966
-33.2                    3.2594020101271854       35.89805352353211        62.83105443223123
