% Model:              Gyroid.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 27 2025, 16:58
% Table:              切面数据 - 切面数据
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      4.88248849610012         29.505869709857517       410.24593254830654
-39.8                    5.7806290418640245       23.602009355814552       405.3490069540478
-39.6                    5.849746766341578        24.495714305395772       402.87196664892247
-39.4                    5.883409954127724        25.227014450236542       401.02992199145075
-39.2                    5.93608040096414         25.757682746483262       399.3800583739753
-39                      6.006250344216637        26.17433645899675        397.7509196623802
-38.800000000000004      6.091661579723504        26.49221070355528        396.10818831304675
-38.6                    6.183647639551544        26.83894502326369        394.39980292689205
-38.4                    6.290340557864888        27.188700490838457       392.56697529431744
-38.2                    6.406287116119027        27.705671385405413       390.53512114216034
-38                      6.579377452812766        28.11342585053249        387.9150478966428
-37.8                    6.765485230709556        28.051365229158044       385.05439055122764
-37.6                    6.8603428304558545       28.309284028184354       382.65106268828583
-37.400000000000006      6.909528744819865        28.682147213459224       380.36111053210874
-37.2                    6.913247675522313        29.167720385822335       378.0680076001854
-37                      6.8351152053073925       30.014820894289148       375.4437646304581
-36.8                    6.785032713646571        30.543353230356438       373.123926530715
-36.6                    6.784975952156593        30.650624861546994       371.36403364376866
-36.4                    6.809908048652759        30.704839518596568       369.835794023372
-36.2                    6.850121017551819        30.749262653407683       368.431428061285
-36.00000000000001       6.90702460779223         30.72892198761549        367.1634880370159
-35.8                    6.9636245049035566       30.715429672129577       365.9770628935994
-35.6                    7.023564442412976        30.67475119021926        364.8489759978488
-35.4                    7.088295297989486        30.608782867565303       363.75958024390894
-35.2                    7.150973850487359        30.574907991763453       362.66224315705995
-35                      7.22329824310866         30.51409868205054        361.5804966068728
-34.8                    7.294786815962667        30.474547204477112       360.47460195608204
-34.6                    7.369221609011676        30.454734507814628       359.3637458260168
-34.4                    7.454081706460966        30.433873621879176       358.164097238003
-34.2                    7.545154161792494        30.42731568966731        356.8518561238908
-34                      7.6441835696597495       30.449568795392494       355.4400670952941
-33.8                    7.750412166663272        30.49655212623122        353.8916796165553
-33.6                    7.858484640905986        30.629012866468894       352.06174455446296
-33.4                    7.961504485261058        30.91067700182133        349.99818650493313
-33.2                    8.06975212875845         31.382605865295496       347.5859910505384
-33                      8.179708906329846        32.12773889711286        344.31267709516663
-32.8                    8.331838559063703        32.19406165120815        340.7391689279786
-32.6                    8.379131897818205        32.51084179349867        338.3458576619212
-32.4                    8.37572698861747         32.883937485961326       336.4385631579327
-32.2                    8.338804522585155        33.29806590685992        334.88537723772544
-32                      8.205547984397231        34.07565480858201        333.7035540737469
-31.799999999999994      8.132322237444775        34.21824299321146        332.8107760844163
-31.6                    8.101617140471772        34.14893662200807        332.08242114090996
-31.4                    8.08607347768066         34.02300364391932        331.5162235533593
-31.2                    8.070699235051803        33.88971147949442        331.12693415265505
-31                      8.052416631207025        33.72946023437025        330.884538151515
-30.799999999999997      8.032385064082378        33.577479047196164       330.79726502037204
-30.6                    8.00963010419213         33.45543985856455        330.7887046224289
-30.4                    7.990378276822169        33.340024794230615       330.9094410429042
-30.200000000000003      7.972236181993272        33.26080954150101        331.04288539541244
-30                      7.961023968955014        33.1787215580478         331.2721575377266
-29.799999999999997      7.954854763674451        33.11118096781127        331.4744658889036
-29.6                    7.9546929363750705       33.05086609877023        331.6714479218882
-29.4                    7.957556243469837        33.033640349366685       331.8198875091443
-29.2                    7.96655135417744         33.01348305206944        331.91740645707085
-29                      7.976510295200715        33.02905183412631        331.8421456232104
-28.8                    7.991512387379084        33.07724334242638        331.5926975871823
-28.6                    8.01188857994418         33.187382541342174       331.14463866080627
-28.4                    8.032296310836474        33.418529426116876       330.3574711562204
-28.2                    8.064959506149812        33.78216740991272        329.12115258121213
-28                      8.122029065186062        34.2283472830708         326.7886007284497
-27.799999999999997      8.21066108257622         34.30117001675626        324.35376357369853
-27.6                    8.23803467641418         34.59741638109003        322.61887380804234
-27.400000000000002      8.231349179869714        34.96621625855335        321.13026853326124
-27.2                    8.195334140035293        35.39400406389757        319.75546485560307
-27                      8.070007221496951        36.14957297058621        318.4784905790193
-26.799999999999997      7.914560017979745        36.77084409903727        317.36184411614335
-26.6                    7.863780578974354        36.80297435018885        316.5211851359524
-26.4                    7.848415218097826        36.78138265868121        315.8186638523491
-26.200000000000003      7.850533759221653        36.721747088593425       315.21748855893264
-26.000000000000004      7.8532636527021324       36.6566935766459         314.6988887960031
-25.799999999999997      7.867486321568184        36.546295758971          314.2061916217692
-25.6                    7.882035353179814        36.4697311538632         313.7500132785495
-25.4                    7.89581747610907         36.41093459522017        313.29487002795435
-25.2                    7.915953492229535        36.34858203759154        312.8113598723788
-25                      7.941630862358372        36.30225995620313        312.28757789568243
-24.8                    7.970975837541037        36.28365905841133        311.7215730098516
-24.6                    8.010873331745437        36.2720597750889         311.0644657214353
-24.4                    8.056678351004237        36.29185814881683        310.35809199668114
-24.2                    8.110738060692917        36.337486654377486       309.55845180470914
-24                      8.17188318521502         36.433626228761106       308.6464431956166
-23.8                    8.228227764592605        36.60962085881927        307.6178978685633
-23.599999999999998      8.28621923062972         36.80575993162152        306.41714043076956
-23.400000000000002      8.33628531220601         37.121538806766445       305.05499533999597
-23.2                    8.380726827625164        37.59531283252033        303.32981166777694
-23                      8.427754202857017        38.142399082274444       300.9051350530248
-22.8                    8.546947965740543        38.074633634210244       298.14899595244276
