% Model:              Gyroid2-0.5.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 30 2025, 10:48
% Table:              切面 - 切面
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      1      20        33.514673856491235
-39.8                    1.1183015886533656       31.962661080939068       33.22207236218971
-39.6                    1.1859170493035645       34.060184885221354       32.925360343864334
-39.4                    1.2274448834778593       35.88000258253261        32.69703595250668
-39.2                    1.2567746387190453       37.49052974031996        32.51453416472946
-39                      1.2853978840057045       38.873371843709386       32.342086757169554
-38.800000000000004      1.3264034096063          39.457580167682316       32.15668143209417
-38.6                    1.3451090883165564       40.436453058910836       32.00617176593794
-38.4                    1.3410012993898524       41.821034669990325       31.861388000149763
-38.2                    1.3503499636676808       42.39213542710224        31.746886129975202
-38                      1.3668457903060784       42.67427618347646        31.64947621776206
-37.8                    1.3885043036336582       42.87079438469509        31.5614819055407
-37.6                    1.411767900392025        43.03361981578982        31.48117959022451
-37.400000000000006      1.4312126229978075       43.261896707905414       31.40453270224042
-37.2                    1.4474027331003858       43.5190619603973         31.328247442287903
-37                      1.4589697255048386       43.874480519319654       31.248031582284064
-36.8                    1.4666997622705695       44.30403454306498        31.16563553986225
-36.6                    1.478901009979008        44.620432728550156       31.07317802725595
-36.4                    1.510664694655667        44.367070914868535       30.969921481858602
-36.2                    1.5197088060236514       44.721735412952924       30.86062554204686
-36.00000000000001       1.5059659534123848       45.618255503222564       30.736974577163384
-35.8                    1.5065126793727408       46.187970888480486       30.626828623597586
-35.6                    1.517998725812209        46.396958480609875       30.5284481810539
-35.4                    1.5302547633597565       46.555278556948636       30.43219587027225
-35.2                    1.5442426114581274       46.67306236329922        30.33848235704741
-35                      1.558495353959809        46.821575776121094       30.242636623961378
-34.8                    1.5735554516711594       47.006811151174254       30.14364100812707
-34.6                    1.5862987782617985       47.36577011400954        30.039366171426252
-34.4                    1.6008314414393292       47.86588564167133        29.924380782715595
-34.2                    1.6118592528019309       48.613911519292664       29.799262844684723
-34                      1.6226713130881092       49.41180299864859        29.643569861148638
-33.8                    1.6521399079919163       49.52235543061951        29.453487313573493
