% Model:              Gyroid2-0.5.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 30 2025, 11:17
% Table:              切面 - 切面
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      1.5       20       66.76274085138587
-39.8                    1.6394624360637418       30.425224710525853       66.15766749134417
-39.6                    1.7421410230726824       32.257775211734796       65.53110274324072
-39.4                    1.8107089574580417       33.86152375331736        65.02713916937053
-39.2                    1.860745543372973        35.334364178831805       64.61707672117471
-39                      1.9060639526821088       36.6756224284996         64.23678945107153
-38.800000000000004      1.9671601353648793       37.254000935653806       63.8361782203397
-38.6                    1.9953495463713296       38.1644828345864         63.5120842853064
-38.4                    1.9898635269257101       39.42958140558648        63.198092859411894
-38.2                    2.0046189955206195       39.90738078427186        62.95157712607012
-38                      2.030119182924271        40.12708871498003        62.743549726570144
-37.8                    2.0617458561140243       40.252014878568545       62.55717455332711
-37.6                    2.097198413566299        40.322470283211516       62.389072193903225
-37.400000000000006      2.128619117198687        40.434948014417394       62.230275359283915
-37.2                    2.155924332128318        40.57177813424368        62.07419885733967
-37                      2.176151302470905        40.81158901409612        61.91162872504
-36.8                    2.1892210035682034       41.155242205684665       61.74580361344164
-36.6                    2.2044985709682674       41.461406999016674       61.55933660133673
-36.4                    2.2479080085294814       41.22008815493766        61.3512924719623
-36.2                    2.259208971525263        41.532445023141555       61.12884965578029
-36.00000000000001       2.23693901634074         42.34070574576909        60.8759169262259
-35.8                    2.238224855032929        42.80192775527029        60.649233551790005
-35.6                    2.2549387745596015       42.89286358118542        60.446634616025996
-35.4                    2.2717179704253065       42.96330420669392        60.24765102535982
-35.2                    2.291167505843718        43.022472248053575       60.05349736700546
-35                      2.311216650208113        43.13358022268786        59.854323747878006
-34.8                    2.332812452040115        43.28281577922039        59.64813433871577
-34.6                    2.3514786764787687       43.59827114354698        59.43000585772507
-34.4                    2.3732738384997596       44.0373730801653         59.188939162087856
-34.2                    2.3903413923182897       44.722389284167626       58.92548380906737
-34                      2.4071538252412896       45.51734583159492        58.596628773696736
-33.8                    2.4520490831197392       45.630560016354025       58.1951321428128
-33.6                    2.4564568240969065       46.057327447360294       57.94085224250283
-33.4                    2.426536423674096        46.77051261413036        57.77703633306542
-33.2                    2.4243505919629045       46.85785237290465        57.62870950908224
-33                      2.4385498627360387       46.79864625144315        57.493912942402716
-32.8                    2.4559593013425354       46.77004535684896        57.379911696578525
-32.6                    2.476352046519945        46.711997987159755       57.277472424378466
