% Model:              Gyroid2-0.5.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 30 2025, 20:52
% Table:              切面 - 切面
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      4       20       399.53526471219817
-39.8                    4.1735069979876185       26.83166624294343        395.96356549402066
-39.6                    4.433210876076834        28.022646515654095       392.1254772689073
-39.4                    4.636723170087928        29.099029433370447       388.7635968616332
-39.2                    4.797315138539071        30.132055315474187       385.9066689147899
-39                      4.933851967927459        31.181299492919557       383.30011959519607
-38.800000000000004      5.099797019431886        31.66444786128295        380.64124326561307
-38.6                    5.176398832400401        32.35627093143903        378.5062879000826
-38.4                    5.162017866900238        33.3132103045371         376.4344848319199
-38.2                    5.199629707680374        33.65802437877584        374.82747281203314
-38                      5.265747216759019        33.8187171686443         373.4912305736931
-37.8                    5.342768568661206        33.88039647201475        372.3062623787383
-37.6                    5.430723552448201        33.87956021189778        371.24967110143524
-37.400000000000006      5.514029464310025        33.8768576700952         370.2610316157916
-37.2                    5.593371137406266        33.875803374011454       369.2979084679213
-37                      5.6594234989275884       33.940646616727015       368.30746487581683
-36.8                    5.7077512331182465       34.08868142657053        367.3076672756086
-36.6                    5.740736333384           34.32556600311512        366.1837948347119
-36.4                    5.8378644109115205       34.154121277029994       364.92968528315134
-36.2                    5.8590672506095895       34.362190897792175       363.56632490989415
-36.00000000000001       5.796685437524139        34.89944705954548        361.99259747220805
-35.8                    5.800203526698481        35.120829114291304       360.5719896378562
-35.6                    5.836368636470442        35.08097880007916        359.29573196555594
-35.4                    5.873599309343301        35.098764797296816       358.0385924783137
-35.2                    5.9204782699398875       35.13477493837353        356.80677019495215
-35                      5.970899914305379        35.23543105663654        355.53835228509774
-34.8                    6.02683458830603         35.347794400911596       354.2203674973241
-34.6                    6.07618688227503         35.57512916666322        352.8175046285732
-34.4                    6.133434850542172        35.874785696041364       351.2630051433759
-34.2                    6.1791933462816155       36.35892271387502        349.5520370305416
-34                      6.227591742635005        37.019019222364086       347.40453054879987
-33.8                    6.35100635390859         37.13934424789075        344.78024137145735
-33.6                    6.372712485432565        37.449641403365675       343.0870310971295
-33.4                    6.305822884781081        37.92309284088177        341.98367083175276
-33.2                    6.304165972141666        37.96318373605105        341.01067684372316
-33                      6.343109072743481        37.920702485869924       340.1534203398468
-32.8                    6.3871430204559045       37.904655273657866       339.44908399844434
-32.6                    6.43914440648829         37.84163206234023        338.83966974192765
-32.4                    6.478545756176503        37.83212615888946        338.29054715555543
-32.2                    6.509035970896024        37.88010795864207        337.8042187509286
