% Model:              Gyroid2-0.5.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 30 2025, 20:01
% Table:              切面 - 切面
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      3.5       20       310.58007340822076
-39.8                    3.671641717139289        27.29533114055728        307.77950883283415
-39.6                    3.9014542580260505       28.566879192991966       304.783231579012
-39.4                    4.078490450498944        29.712205008510818       302.1842923026161
-39.2                    4.216775833672299        30.809057499785688       299.9888291818771
-39                      4.334658310636491        31.907705795882514       297.9862204515147
-38.800000000000004      4.479262002750886        32.40865032222281        295.938825302528
-38.6                    4.545954091885682        33.13339122120617        294.2944170704637
-38.4                    4.533289183533887        34.13377449749871        292.6978248207963
-38.2                    4.566363467490977        34.49578377826208        291.45775722345786
-38                      4.624495204113486        34.66417950120117        290.4248307880695
-37.8                    4.692637716892634        34.73114628757074        289.5075992206975
-37.6                    4.770505822741717        34.73350588077035        288.6886275916542
-37.400000000000006      4.8440913191896815       34.73776685672449        287.92158498830236
-37.2                    4.913691121203932        34.745878245513424       287.1740617682119
-37                      4.971104667214872        34.82544914605657        286.40492414163157
-36.8                    5.012440182989401        34.99602050655871        285.6282531216715
-36.6                    5.041565375264034        35.24628429217178        284.7547118202475
-36.4                    5.128082856846857        35.066036990303516       283.7793956006674
-36.2                    5.147365948282444        35.287005781724176       282.7215501648648
-36.00000000000001       5.092837127262028        35.85819082128143        281.50303999491416
-35.8                    5.0965036479894          36.10143745614964        280.40362606892126
-35.6                    5.129140585524473        36.06463389016112        279.41700948253833
-35.4                    5.16222965539489         36.079888657600975       278.44550232955845
-35.2                    5.203494175754014        36.115416137290524       277.49451629670403
-35                      5.247704500989941        36.2179005280596         276.5155900870331
-34.8                    5.296712674925446        36.33720475839177        275.4991249594962
-34.6                    5.340005251204182        36.57822671592136        274.41759205308733
-34.4                    5.390266119139142        36.89656973104735        273.2191347032862
-34.2                    5.430499654138315        37.40935757607071        271.9003269118882
-34                      5.472625093638876        38.094619374555116       270.2444865609726
-33.8                    5.58064031532484         38.21376419725994        268.2207343634318
-33.6                    5.598987908941631        38.53913151883238        266.91872646909843
-33.4                    5.539530100207609        39.04168819620386        266.0740945606827
-33.2                    5.53753581282121         39.08077070785298        265.32729616655155
-33                      5.571768245869631        39.03292229441959        264.6672748136046
-32.8                    5.610783461595169        39.01167360860113        264.12376060923054
-32.6                    5.6566972327249525       38.94527306035713        263.65175333337703
-32.4                    5.691180530517505        38.937657039047075       263.22466208779
-32.2                    5.717491081947412        38.991656595111195       262.84454399528704
-32                      5.731457153780712        39.13799361201099        262.4167714446557
-31.799999999999994      5.728072471897427        39.415294905647244       261.91958597451367
-31.6                    5.704099089952344        39.88241531780103        261.305505784028
-31.4                    5.755556900460199        39.74304237737775        260.43675079458626
-31.2                    5.741666382615612        39.865923407011486       259.9320822535662
-31                      5.646858439598166        40.341354296727715       259.6515244525908
-30.799999999999997      5.593086706003276        40.362231774787894       259.4571453551457
-30.6                    5.5670437272618845       40.21251107351458        259.26605848990425
-30.4                    5.546443048038752        40.086699330465635       259.11888790053916
-30.200000000000003      5.524483336722464        40.047542279991525       258.90481580633974
-30                      5.514896156387812        40.01919594577421        258.6884411159447
-29.799999999999997      5.502042130243981        40.062398805004065       258.39578822007496
-29.6                    5.491882209815071        40.194652713729795       258.00993345000546
-29.4                    5.483109242686498        40.411341366419734       257.5459908634999
-29.2                    5.4762195360660755       40.77453813994096        256.85628400484046
-29                      5.461359103149724        41.38638521931376        255.88660949276007
-28.8                    5.5098816076740915       41.634753190822096       254.3680476328068
-28.6                    5.49253627689473         42.08105213844777        253.27907450855116
-28.4                    5.400788007228149        42.792782261967595       252.40628099914125
-28.2                    5.382687710832995        43.001250713722165       251.68184851644537
-28                      5.400027915237043        43.09523468377078        251.02816912655982
-27.799999999999997      5.432498513835778        43.16977370092957        250.418953935261
-27.6                    5.470558323999038        43.239996754640636       249.85931194792798
-27.400000000000002      5.50114373915622         43.37046786470424        249.2670380984477
-27.2                    5.539381923208293        43.48625253816779        248.63459024383096
-27                      5.575310773170808        43.65555869221886        247.93032367826765
-26.799999999999997      5.607715062263352        43.91116646356173        247.12214619684303
-26.6                    5.639056358253022        44.17170597940347        246.20360431011298
-26.4                    5.726032881059337        43.98264696555405        245.02341877532766
-26.200000000000003      5.717325177451658        44.23153755675394        243.98031523588568
-26.000000000000004      5.626543126906925        44.84558867655242        242.87450894262216
-25.799999999999997      5.592625907996939        45.104185061926984       241.95991492765748
-25.6                    5.602525323819543        45.153512027092106       241.1404339268594
-25.4                    5.628881852574801        45.21341435290419        240.37131384227894
-25.2                    5.662657199765094        45.28057999115816        239.60944537552786
-25                      5.70301775497295         45.33916786021464        238.86239917820404
-24.8                    5.742968370742519        45.42513808117387        238.09257151334137
-24.6                    5.783449533617647        45.576080665653805       237.2606846149341
-24.4                    5.816513624166215        45.83790320073116        236.34421089609748
-24.2                    5.840994776468463        46.27776350174412        235.2119433441576
-24                      5.851434863469519        46.8337301104619         233.72503406924554
-23.8                    5.929877664162112        46.87288965529817        231.79409559544538
-23.599999999999998      5.916293744701318        47.15414948738385        230.56802329913342
-23.400000000000002      5.801801548926011        47.71117719812155        229.77533573263216
-23.2                    5.754521124380787        47.84056367751601        229.05445411363738
-23                      5.740963648795789        47.896765350474396       228.36631307340028
-22.8                    5.741163387805841        47.966772998319676       227.73965615821527
-22.599999999999998      5.749069044019994        48.02815501770013        227.13297471318296
-22.4                    5.756025503177517        48.11879176333357        226.53822171922144
-22.2                    5.764895856852754        48.23190319235552        225.93733710152515
-22                      5.769784924133083        48.39823188269033        225.24345146832658
-21.8                    5.759166612646082        48.66183668706988        224.49871187903057
